NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
252,UNIVERSITAS ISLAM NEGERI JAKARTA,3221095,FARMASI,626.36,10.48,612.44,651.96
253,UNIVERSITAS SEBELAS MARET,3531286,TEKNIK ELEKTRO,627.95,14.7,612.32,674.88
254,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821322,DESAIN KOMUNIKASI VISUAL,631.14,14.4,611.86,661.87
255,UNIVERSITAS GADJAH MADA,3611244,ILMU TANAH,634.33,19.76,611.86,701.92
256,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821233,TEKNIK TRANSPORTASI LAUT,624.98,15.6,611.73,667.4
257,"UPN ""VETERAN"" YOGYAKARTA",3631086,TEKNIK INFORMATIKA,629.08,15.04,611.6,702.85
258,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651052,TEKNIK INFORMATIKA,628.57,17.11,611.51,681.69
259,UNIVERSITAS SEBELAS MARET,3531127,MATEMATIKA,631.23,20.35,611.29,704.86
260,UNIVERSITAS PALANGKARAYA,5211224,PENDIDIKAN DOKTER,623.13,11.86,611.27,660.56
261,UNIVERSITAS NEGERI SEMARANG,3561215,TEKNIK INFORMATIKA,627.1,14.49,611.21,668.49
262,UNIVERSITAS BRAWIJAYA,3721197,PERENCANAAN WILAYAH & KOTA,625.25,11.7,610.89,677.43
263,UNIVERSITAS JEMBER,3711187,FARMASI,634.76,21.5,610.73,740.42
264,UNIVERSITAS ANDALAS,1411153,TEKNIK INDUSTRI,632.62,16.76,610.73,680.73
265,INSTITUT PERTANIAN BOGOR,3411114,KEDOKTERAN HEWAN,636.91,24.96,610.72,752.22
266,UNIVERSITAS AIRLANGGA,3811092,KESEHATAN MASYARAKAT,630.77,15.63,610.67,680.57
267,UNIVERSITAS GADJAH MADA,3611221,AGRONOMI,626.65,16.85,610.6,676.66
268,UNIVERSITAS NEGERI JAKARTA,3231051,MATEMATIKA,629.41,24.73,610.45,711.95
269,UNIVERSITAS ANDALAS,1411211,SISTEM INFORMASI,631.52,16.86,610.35,671.35
270,UNIVERSITAS DIPONEGORO,3551267,TEKNIK GEOLOGI,624.11,11.45,610.07,671.73
271,"UPN ""VETERAN"" JAKARTA",3241045,INFORMATIKA,626.91,15.08,609.82,689.7
272,UNIVERSITAS BRAWIJAYA,3721352,TEKNIK KOMPUTER,624.45,12.01,609.16,664.6
273,UNIVERSITAS HALUOLEO,7511212,PENDIDIKAN DOKTER,628.49,15.23,608.95,662.27
274,UNIVERSITAS GADJAH MADA,3611476,HIGIENE GIGI,623.33,16.01,608.76,657.94
275,UNIVERSITAS SEBELAS MARET,3531151,BIOLOGI,625.56,14.23,608.75,656.82
276,UNIVERSITAS NEGERI SEMARANG,3561262,FARMASI,626.18,14.52,608.7,651.77
277,UNIVERSITAS GADJAH MADA,3611484,KEHUTANAN,628.55,15.99,608.64,693.77
278,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821175,TEKNIK PERKAPALAN,634.62,19.88,608.55,699.05
279,UNIVERSITAS GADJAH MADA,3611291,TEKNOLOGI HASIL PERIKANAN,623.49,16.2,608.51,675.73
280,INSTITUT TEKNOLOGI BANDUNG,3321177,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM) - KAMPUS CIREBON,633.09,16.8,608.42,668.84
281,INSTITUT PERTANIAN BOGOR,3411064,EKONOMI SUMBERDAYA DAN LINGKUNGAN,621.3,13.34,608.38,653.16
282,UNIVERSITAS DIPONEGORO,3551066,BIOLOGI,625.67,16.22,608.27,684.12
283,UNIVERSITAS GADJAH MADA,3611302,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),624.61,14.11,607.94,652.68
284,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821016,FISIKA,624.08,15.64,607.8,692.55
285,UNIVERSITAS PADJADJARAN,3331083,AGRIBISNIS,626.73,18.62,607.42,693.3
286,UNIVERSITAS DIPONEGORO,3551252,TEKNIK PERKAPALAN,621.59,11.87,607.31,658.24
287,UNIVERSITAS ISLAM NEGERI ALAUDDIN,7131162,PENDIDIKAN DOKTER,625.08,13.27,607.23,657.33
288,UNIVERSITAS GADJAH MADA,3611283,AKUAKULTUR (BUDIDAYA PERIKANAN),624.99,15.27,606.65,669.19
