NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
437,UNIVERSITAS PENDIDIKAN INDONESIA,3341046,PENDIDIKAN KIMIA,604.75,11.51,590.02,634.08
438,UNIVERSITAS SUMATERA UTARA,1211062,TEKNIK KIMIA,609.41,17.63,589.72,681.91
439,UNIVERSITAS NEGERI MALANG,3731033,PENDIDIKAN KIMIA,604.08,13,589.62,638.72
440,UNIVERSITAS SRIWIJAYA,1711021,TEKNIK PERTAMBANGAN,608.92,15.23,589.51,652.66
441,"UPN ""VETERAN"" JAKARTA",3241014,TEKNIK MESIN,606.25,12.35,589.49,639.43
442,UNIVERSITAS NEGERI SEMARANG,3561126,BIOLOGI,600.51,11.74,589.49,641.03
443,UNIVERSITAS UDAYANA,6111223,FISIOTERAPI,615.03,17.81,589.34,658.4
444,"UPN ""VETERAN"" JAWA TIMUR",3851077,SISTEM INFORMASI,602.88,11.91,589.27,642.95
445,UNIVERSITAS NEGERI SEMARANG,3561134,KESEHATAN MASYARAKAT,604.65,11.64,588.94,635.74
446,UNIVERSITAS NEGERI SURABAYA,3831073,KIMIA,604.15,12.74,588.84,627.1
447,UNIVERSITAS UDAYANA,6111022,KEDOKTERAN HEWAN,610.27,27.36,588.55,731.56
448,UNIVERSITAS NEGERI JAKARTA,3231035,PENDIDIKAN KIMIA,605.77,15.7,588.24,638.48
449,UNIVERSITAS JENDERAL SOEDIRMAN,3511177,AGRIBISNIS,601.3,13.05,587.8,639.5
450,"UPN ""VETERAN"" YOGYAKARTA",3631094,AGROTEKNOLOGI,600.47,11.11,587.8,641.18
451,UNIVERSITAS ISLAM NEGERI JAKARTA,3221087,KESEHATAN MASYARAKAT,604.09,13.59,587.7,640.22
452,UNIVERSITAS PENDIDIKAN INDONESIA,3341112,PENDIDIKAN TEKNIK ARSITEKTUR,604.32,14.48,587.66,643.24
453,UNIVERSITAS PENDIDIKAN INDONESIA,3341023,PENDIDIKAN FISIKA,604.86,14.93,587.36,659.98
454,UNIVERSITAS TIDAR,3521021,TEKNIK SIPIL,598.97,8.35,587.19,623.67
455,UNIVERSITAS NEGERI SEMARANG,3561196,TEKNIK MESIN,601.09,11.82,587.04,632.7
456,UNIVERSITAS UDAYANA,6111045,TEKNIK SIPIL,607.84,18.62,586.97,666.01
457,UNIVERSITAS NEGERI JAKARTA,3231043,PENDIDIKAN BIOLOGI,598.2,12.39,586.82,641.84
458,INSTITUT PERTANIAN BOGOR,3411427,SILVIKULTUR,599.96,10.9,586.76,629.56
459,UNIVERSITAS NEGERI MALANG,3731203,TEKNIK ELEKTRO,603.67,12.41,586.69,632.72
460,UNIVERSITAS BRAWIJAYA,3721313,ILMU KELAUTAN,605.14,15.3,586.46,651.99
461,UNIVERSITAS DIPONEGORO,3551317,AGROEKOTEKNOLOGI,604.24,16.61,586.32,674.68
462,"UPN ""VETERAN"" YOGYAKARTA",3631121,ILMU TANAH,597.33,12.55,585.84,652.8
463,UNIVERSITAS SUMATERA UTARA,1211023,TEKNIK SIPIL,608.18,17.24,585.83,655.41
464,UNIVERSITAS SAM RATULANGI,7211023,PENDIDIKAN DOKTER GIGI,595.67,10.64,585.67,623.97
465,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651013,MATEMATIKA,604.46,16.23,585.61,670.53
466,UNIVERSITAS NEGERI SEMARANG,3561103,FISIKA,596.61,12,585.46,632.22
467,UNIVERSITAS SEBELAS MARET,3531305,PENDIDIKAN IPA,596.62,11.78,585.32,628.48
468,UNIVERSITAS NEGERI SEMARANG,3561037,PENDIDIKAN KIMIA,599.5,12.91,584.98,638.26
469,UNIVERSITAS RIAU,1311167,TEKNIK KIMIA,601.72,14.11,584.97,643.03
470,UNIVERSITAS ANDALAS,1411072,KIMIA,599.89,15.04,584.92,647.89
471,UNIVERSITAS JEMBER,3711141,KESEHATAN MASYARAKAT,603.08,16.94,584.91,667.36
472,UNIVERSITAS LAMPUNG,1911352,FARMASI,601.06,13.39,584.9,624.61
473,UNIVERSITAS JEMBER,3711206,SISTEM INFORMASI,606.66,20.12,584.79,668.69
474,INSTITUT PERTANIAN BOGOR,3411404,TEKNOLOGI HASIL PERAIRAN,606.92,18.24,584.72,650.78
475,UNIVERSITAS AIRLANGGA,3811103,PENDIDIKAN NERS,610.03,23.71,584.57,712.46
476,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651036,KIMIA,599.65,11.86,584.44,628.94
477,UNIVERSITAS ISLAM NEGERI JAKARTA,3221064,KIMIA,599.45,12.69,584.28,638.84
478,UNIVERSITAS NEGERI SEMARANG,3561022,PENDIDIKAN FISIKA,596.48,12.38,584.02,630.16
479,UNIVERSITAS NEGERI YOGYAKARTA,3621092,PENDIDIKAN TEKNIK SIPIL & PERENCANAAN,601.04,15.17,584,657.42
480,UNIVERSITAS ISLAM NEGERI JAKARTA,3221025,TEKNIK INFORMATIKA,605.65,19.01,583.87,666.44
481,UNIVERSITAS NEGERI YOGYAKARTA,3621455,TEKNIK MANUFAKTUR,600.75,15.81,583.7,636.41
482,UNIVERSITAS SEBELAS MARET,3531263,PENYULUHAN DAN KOMUNIKASI PERTANIAN,596.1,14.97,583.67,678.87
483,UNIVERSITAS NEGERI SEMARANG,3561045,PENDIDIKAN BIOLOGI,598.92,13.96,583.6,637.18
484,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,3361066,TEKNIK INFORMATIKA,603.88,16.75,583.54,653.39
485,UNIVERSITAS ANDALAS,1411056,ILMU KESEHATAN MASYARAKAT,601.49,14.1,583.38,648.17
486,INSTITUT PERTANIAN BOGOR,3411482,TEKNOLOGI HASIL TERNAK,604.94,16.14,583.2,631.42
487,UNIVERSITAS NEGERI MALANG,3731192,TEKNIK MESIN,603.14,19.3,583.2,659.63
488,UNIVERSITAS NEGERI MALANG,3731226,TEKNIK INDUSTRI,597.91,13.35,583.19,636.45
489,UNIVERSITAS DIPONEGORO,3551325,AGRIBISNIS,604.37,13.57,582.8,629.58
490,UNIVERSITAS UDAYANA,6111207,ILMU KOMPUTER/TEKNIK INFORMATIKA,612.39,25.68,582.76,723.78
491,"UPN ""VETERAN"" JAKARTA",3241076,KEPERAWATAN,597.71,12.27,582.64,622.13
492,"UPN ""VETERAN"" JAKARTA",3241022,TEKNIK PERKAPALAN,599.16,12.41,582.53,623.35
493,UNIVERSITAS PENDIDIKAN INDONESIA,3341201,PENDIDIKAN ILMU PENGETAHUAN ALAM,596.48,22.49,582.5,677.86
494,UNIVERSITAS NEGERI MALANG,3731145,BIOLOGI,597.97,15.94,582.4,643.74
495,UNIVERSITAS SRIWIJAYA,1711284,TEKNIK INFORMATIKA,607.65,23.66,582.37,670.07
496,UNIVERSITAS ANDALAS,1411114,SISTEM KOMPUTER,598.45,16.02,582.23,653.16
497,UNIVERSITAS NEGERI SEMARANG,3561142,PENDIDIKAN IPA,594.6,13.04,582.14,630.12
498,UNIVERSITAS NEGERI MALANG,3731184,ILMU KESEHATAN MASYARAKAT,598.79,17.46,582.05,687.01
499,UNIVERSITAS SRIWIJAYA,1711342,PSIKOLOGI,612.53,16.76,581.97,647.92
500,UNIVERSITAS BRAWIJAYA,3721263,AGROEKOTEKNOLOGI,597.59,13.54,581.92,655.66
